locomotive_id,engine_hours,avg_speed_mph,total_miles,oil_change_interval,brake_thickness_mm,wheel_wear_score,temperature_avg,vibration_avg,fuel_efficiency_mpg,last_maintenance_days,needs_maintenance,estimated_cost
LOC-0000,31619,44.86846453499187,232526,280,23.692829833683298,46.87658161276428,88.66533562502653,4.186088732451559,0.15563937771133948,19,0,1103.6486882396125
LOC-0001,1613,42.39449761186977,456978,226,5.286804404097181,80.41199092866796,64.99778994861902,3.561186718409404,0.3310336460213046,141,0,717.2705781415799
LOC-0002,49811,50.55944046228786,396274,160,16.416537883112774,80.87801132776309,85.89600463101446,3.848692436447935,0.23491856846162362,80,0,1195.7842448488605
LOC-0003,28225,55.024873107689636,378037,158,19.469047777736435,3.7418126715410227,85.18518964379687,8.49009733813272,0.28014542321302793,147,1,857.8937147700915
LOC-0004,11735,63.488546495149436,162803,182,6.326993428812404,26.69782602380073,73.03999162224898,4.008342898901461,0.2864211402018033,135,0,823.2876644398925
LOC-0005,26500,66.89024804012607,379915,178,5.023407185206512,41.53747746308215,72.82749036466379,0.8401267361640681,0.3099656385396142,3,0,1052.0244597718008
LOC-0006,33622,67.1287617779541,475296,170,13.20696777250567,94.01821462047579,89.26857349978731,6.096519428494789,0.18011651481784258,141,1,859.7815600532667
LOC-0007,13111,58.4239805216763,299352,278,11.543555123701557,44.7420987826139,67.30058102962435,4.287697765412704,0.3164152876075268,142,1,795.7194058366632
LOC-0008,30818,65.18378465033607,365216,250,23.42662847861103,93.08212590336173,72.45066941380547,0.867304022447211,0.24425534035333407,172,0,930.1337118577156
LOC-0009,13532,42.14175927120005,59389,286,12.484290305706674,48.85703261090217,69.34924782817113,2.2573010330432592,0.19167276658472066,54,0,860.3656644465584
LOC-0010,45525,66.64189791882282,424195,171,7.539969176160457,37.331068231670486,79.42441055780334,6.8116019673974435,0.18321173257232656,33,0,1095.6825359306044
LOC-0011,24612,42.87539337396954,478288,134,9.781896540308939,66.36296886803488,75.82104979481636,6.95537657985844,0.2532646714617911,146,0,676.4953182383916
LOC-0012,29717,62.70168373086763,357148,137,22.367930042499385,21.508355223600585,77.12804467597486,1.1186220238255005,0.17835539338646206,71,0,884.3153029812595
LOC-0013,35213,59.851144404402206,129354,255,13.244964338942989,36.30803081825342,68.97386153308322,3.4196596961712356,0.2680671630573024,15,0,1217.4438933845477
LOC-0014,39353,66.77740815405639,117265,102,7.370680110339707,27.83529028249998,66.91345009400725,5.235468103479247,0.1971722557127623,128,1,843.3709064178527
LOC-0015,33523,54.752437513761336,160239,274,15.717867677198171,15.824885988383253,69.10043659660272,6.336432534266596,0.29204878528359784,63,0,1049.2232806879038
LOC-0016,45787,69.83494583521502,139784,296,6.089616574778116,65.50007110412936,45.92545373116806,3.205883932511367,0.31190592919087445,87,1,1071.4589509059228
LOC-0017,23349,45.06323551541619,191894,297,13.073129332306559,85.57567864563009,89.84651036379931,10.97669039182358,0.22144988179828315,86,0,772.2361479733311
LOC-0018,15533,49.23457555599507,103832,122,13.735574313032204,62.794027706996616,66.22142374669407,5.6562662634508705,0.16011008401442856,63,0,1013.8181719039471
LOC-0019,48074,63.85421771004688,363328,103,7.267491301181921,82.2783731571305,61.34577936850636,3.947622028546099,0.18727484104278602,118,1,984.8461065341353
LOC-0020,48310,43.278798935480914,343354,250,10.84480820007822,42.31056376242177,80.64674039493798,5.509136977106795,0.22217302406846984,112,1,1133.6060444115658
LOC-0021,15420,56.88376927651515,186280,103,12.106159349842523,75.70911220264244,60.4503846716915,5.070574647513361,0.25529585327688303,35,0,942.8487229449257
LOC-0022,14090,67.44809443463402,205680,123,16.71717003452099,61.77776734063273,85.85446326597365,7.645696455605502,0.3170490570771503,148,0,679.9826527339061
LOC-0023,34602,62.27893686052311,386735,164,19.16276980387501,29.14022839453605,69.96326167742102,3.6398830071831743,0.2866506457563994,151,1,781.7510235098434
LOC-0024,37715,56.80673031475273,338486,163,16.206352208047825,22.62006089655182,83.6409840212159,6.295167781601326,0.26043627869456676,28,0,1202.578390308792
LOC-0025,10320,67.71621624062007,458784,239,8.491325537985396,2.8665880911708186,81.63203402096708,4.025137220806867,0.22882381398853596,152,1,768.9378924071319
LOC-0026,36332,40.768120736816236,463653,221,14.396323743867486,69.8406316456675,64.31588597106622,7.355264968759251,0.1643032726904885,5,0,1150.4130686954243
